Model,National GDP MAE,National GDP RMSE,National GDP SMAPE,National GDP MASE,Primary Industries MAE,Primary Industries RMSE,Primary Industries SMAPE,Primary Industries MASE,Goods-Producing Industries MAE,Goods-Producing Industries RMSE,Goods-Producing Industries SMAPE,Goods-Producing Industries MASE,Services Industries MAE,Services Industries RMSE,Services Industries SMAPE,Services Industries MASE,Mean Rank
Moirai-1.1-R-base,2.06,2.83,0.6,0.3,1.4,1.78,0.48,0.33,2.73,3.78,0.64,0.23,1.65,3.26,0.35,0.3,1.5
Moirai-1.1-R-large,2.54,4.04,0.77,0.37,1.17,1.37,0.29,0.27,3.41,5.08,0.76,0.29,1.81,3.15,0.39,0.33,1.5
Moirai-1.1-R-small,2.44,4.17,0.66,0.36,1.83,2.21,0.67,0.43,5.98,8.59,1.22,0.51,1.91,3.6,0.38,0.35,3.0
Chronos-t5-base,4.53,5.98,1.25,0.67,3.76,5.38,0.91,0.88,8.6,10.46,1.55,0.74,3.42,4.95,0.81,0.63,4.75
Chronos-t5-small,4.7,6.21,1.28,0.69,3.83,5.46,0.89,0.9,8.36,10.28,1.49,0.72,3.66,5.34,0.79,0.67,5.25
Chronos-t5-large,6.0,8.26,1.28,0.88,3.92,5.32,0.94,0.92,9.24,11.45,1.6,0.79,3.75,5.44,0.79,0.69,6.25
AutoArima,6.68,8.35,1.27,0.98,3.86,4.83,0.9,0.9,8.73,10.98,1.34,0.75,5.0,6.56,1.07,0.92,6.5
TimeGPT-1,5.57,7.3,1.22,0.82,3.96,5.69,0.94,0.93,9.5,12.22,1.53,0.81,4.44,5.86,0.87,0.82,7.25
Persistence,6.42,8.54,1.32,0.94,3.92,6.06,0.75,0.92,11.13,14.52,1.43,0.95,5.11,6.85,0.94,0.94,9.0
