Sector,Period,Model,p_vs_Persistence,p_vs_AutoARIMA
Services_Industries,1999Q3–2024Q4,timegpt,0.443205181,0.614004149
Services_Industries,1999Q3–2024Q4,chronos_small,0.257066334,0.136343027
Services_Industries,1999Q3–2024Q4,chronos_base,0.18349118,0.125709583
Services_Industries,1999Q3–2024Q4,chronos_large,0.286839171,0.136971524
Services_Industries,1999Q3–2024Q4,moirai_small,0.038533514,0.015297624
Services_Industries,1999Q3–2024Q4,moirai_base,0.054425169,0.039094847
Services_Industries,1999Q3–2024Q4,moirai_large,0.03993981,0.024884301
Services_Industries,PreCOVID,timegpt,0.236566023,0.099507266
Services_Industries,PreCOVID,chronos_small,0.233192295,0.789789059
Services_Industries,PreCOVID,chronos_base,0.278228716,0.496130377
Services_Industries,PreCOVID,chronos_large,0.970673818,0.368815812
Services_Industries,PreCOVID,moirai_small,0.233463515,0.694614626
Services_Industries,PreCOVID,moirai_base,0.00528673,0.019891962
Services_Industries,PreCOVID,moirai_large,0.013181055,0.02940685
Services_Industries,COVID,timegpt,0.273297038,0.614558129
Services_Industries,COVID,chronos_small,0.279297743,0.166666022
Services_Industries,COVID,chronos_base,0.196557668,0.188126957
Services_Industries,COVID,chronos_large,0.314819284,0.150228328
Services_Industries,COVID,moirai_small,0.069346028,0.047146217
Services_Industries,COVID,moirai_base,0.096656178,0.121369885
Services_Industries,COVID,moirai_large,0.067847187,0.073904283
Services_Industries,PostCOVID,timegpt,0.193684985,0.70135728
Services_Industries,PostCOVID,chronos_small,0.36188431,0.381803634
Services_Industries,PostCOVID,chronos_base,0.267895725,0.368278508
Services_Industries,PostCOVID,chronos_large,0.278513599,0.370917339
Services_Industries,PostCOVID,moirai_small,0.089982358,0.206832887
Services_Industries,PostCOVID,moirai_base,0.120993258,0.214380186
Services_Industries,PostCOVID,moirai_large,0.076107402,0.231404441
