Model,National GDP MAE,National GDP RMSE,National GDP SMAPE,National GDP MASE,Primary Industries MAE,Primary Industries RMSE,Primary Industries SMAPE,Primary Industries MASE,Goods-Producing Industries MAE,Goods-Producing Industries RMSE,Goods-Producing Industries SMAPE,Goods-Producing Industries MASE,Services Industries MAE,Services Industries RMSE,Services Industries SMAPE,Services Industries MASE,Mean Rank
Moirai-1.1-R-large,0.15,0.2,0.05,0.34,0.62,0.95,0.36,0.26,0.18,0.25,0.06,0.15,0.14,0.15,0.04,0.4,1.5
Moirai-1.1-R-base,0.23,0.29,0.07,0.52,0.7,0.83,0.28,0.29,0.3,0.4,0.12,0.25,0.11,0.14,0.03,0.33,1.75
Moirai-1.1-R-small,0.26,0.31,0.09,0.6,0.94,1.09,0.54,0.39,0.32,0.39,0.12,0.26,0.23,0.29,0.07,0.67,2.75
AutoArima,0.39,0.45,0.12,0.9,1.8,2.08,0.71,0.75,1.13,1.34,0.41,0.92,0.27,0.33,0.08,0.8,4.25
Chronos-t5-small,0.4,0.47,0.13,0.92,1.84,2.37,0.88,0.76,1.22,1.52,0.44,0.99,0.31,0.34,0.09,0.91,6.0
Chronos-t5-large,0.33,0.4,0.1,0.75,1.96,2.54,0.91,0.82,1.17,1.45,0.4,0.95,0.34,0.38,0.1,1.0,6.0
Persistence,0.41,0.5,0.13,0.94,2.29,2.84,0.9,0.95,1.19,1.51,0.39,0.97,0.33,0.38,0.1,0.99,7.25
Chronos-t5-base,0.41,0.55,0.13,0.94,1.84,2.43,0.86,0.76,1.22,1.53,0.48,1.0,0.31,0.35,0.09,0.92,7.5
TimeGPT-1,0.41,0.51,0.12,0.95,2.44,2.99,1.09,1.02,1.02,1.39,0.31,0.83,0.38,0.44,0.11,1.13,7.75
