,MAE,RMSE,SMAPE,MASE
persistence,1.53,1.81,0.43,0.97
autoarima,1.53,1.84,0.38,0.97
timegpt,2.31,3.01,0.65,1.46
chronos_small,1.17,1.41,0.26,0.74
chronos_base,1.59,1.85,0.33,1.00
chronos_large,1.90,2.27,0.64,1.20
moirai_small,0.73,0.86,0.23,0.46
moirai_base,0.81,1.18,0.44,0.51
moirai_large,0.49,0.55,0.36,0.31
