,MAE,RMSE,SMAPE,MASE
persistence,5.11,6.85,0.94,0.94
autoarima,5.00,6.56,1.07,0.92
timegpt,4.44,5.86,0.87,0.82
chronos_small,3.66,5.34,0.79,0.67
chronos_base,3.42,4.95,0.81,0.63
chronos_large,3.75,5.44,0.79,0.69
moirai_small,1.91,3.60,0.38,0.35
moirai_base,1.65,3.26,0.35,0.30
moirai_large,1.81,3.15,0.39,0.33
