,MAE,RMSE,SMAPE,MASE
persistence,1.44,3.08,0.49,1.01
autoarima,1.49,3.03,0.50,1.05
timegpt,1.49,2.80,0.52,1.05
chronos_small,1.22,2.31,0.49,0.86
chronos_base,1.23,2.26,0.50,0.87
chronos_large,1.38,2.98,0.49,0.97
moirai_small,0.56,1.49,0.25,0.40
moirai_base,0.48,1.04,0.20,0.34
moirai_large,0.52,1.43,0.22,0.37
