,MAE,RMSE,SMAPE,MASE
persistence,0.41,0.50,0.13,0.94
autoarima,0.39,0.45,0.12,0.90
timegpt,0.41,0.51,0.12,0.95
chronos_small,0.40,0.47,0.13,0.92
chronos_base,0.41,0.55,0.13,0.94
chronos_large,0.33,0.40,0.10,0.75
moirai_small,0.26,0.31,0.09,0.60
moirai_base,0.23,0.29,0.07,0.52
moirai_large,0.15,0.20,0.05,0.34
