,MAE,RMSE,SMAPE,MASE
persistence,6.42,8.54,1.32,0.94
autoarima,6.68,8.35,1.27,0.98
timegpt,5.57,7.30,1.22,0.82
chronos_small,4.70,6.21,1.28,0.69
chronos_base,4.53,5.98,1.25,0.67
chronos_large,6.00,8.26,1.28,0.88
moirai_small,2.44,4.17,0.66,0.36
moirai_base,2.06,2.83,0.60,0.30
moirai_large,2.54,4.04,0.77,0.37
