,MAE,RMSE,SMAPE,MASE
persistence,0.89,1.00,0.68,0.94
autoarima,1.24,1.48,0.75,1.31
timegpt,2.16,2.62,0.98,2.28
chronos_small,0.87,1.06,0.66,0.92
chronos_base,0.89,1.02,0.68,0.94
chronos_large,0.89,1.00,0.69,0.94
moirai_small,0.45,0.52,0.26,0.47
moirai_base,0.65,0.85,0.38,0.69
moirai_large,0.49,0.58,0.52,0.52
