,MAE,RMSE,SMAPE,MASE
persistence,1.19,1.51,0.39,0.97
autoarima,1.13,1.34,0.41,0.92
timegpt,1.02,1.39,0.31,0.83
chronos_small,1.22,1.52,0.44,0.99
chronos_base,1.22,1.53,0.48,1.00
chronos_large,1.17,1.45,0.40,0.95
moirai_small,0.32,0.39,0.12,0.26
moirai_base,0.30,0.40,0.12,0.25
moirai_large,0.18,0.25,0.06,0.15
